ProductCode,Product Description
ALL,All
TOTAL,Total Trade
01,LIVE ANIMALS
0101,"Live horses, asses, mules and hinnies."
010110,(2002-2011) - Pure-bred breeding animals
010111,(-2001) - - Pure-bred breeding animals
010119,(-2001) - - Other
010120,"(-2001) - Asses, mules and hinnies"
010121,(2012-) -- Pure-bred breeding animals
010129,
010130,(2012-) - Asses
010190,(2002-) - Other
0102,Live bovine animals.
010210,(-2011) - Pure-bred breeding animals
010221,(2012-) -- Pure-bred breeding animals
010229,(2012-) -- Other
010231,(2012-) -- Pure-bred breeding animals
010239,(2012-) -- Other
010290,- Other
0103,Live swine.
010310,- Pure-bred breeding animals
010391,-- Weighing less than 50 kg
010392,-- Weighing 50 kg or more
0104,Live sheep and goats.
010410,- Sheep
010420,- Goats
0105,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls."
010511,-- Fowls of the species Gallus domesticus
010512,(1996-) -- Turkeys
010513,(2012-) -- Ducks
010514,(2012-) -- Geese
010515,(2012-) -- Guinea fowls
010519,(-2011) -- Other
010591,(-1995) Fowls of the species Gallus domesticus
010592,"(1996-2006)  -- Fowls of the species Gallus domesticus, weighing not more than 2,000 g"
010593,"(1996-2006)  -- Fowls of the species Gallus domesticus, weighing more than 2,000 g"
010594,(2007-) -- Fowls of the species Gallus domesticus
010599,-- Other
0106,Other live animals.
010600,(-2001) Other live animals
010611,(2002-) -- Primates
010612,"(2002-) -- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)"
010613,(2012-) -- Camels and other camelids (Camelidae)
010614,(2012-) -- Rabbits and hares
010619,(2002-) -- Other
010620,(2002-) - Reptiles (including snakes and turtles)
010631,(2002-) -- Birds of prey
010632,"(2002-) -- Psittaciformes (including parrots, parakeets, macaws and cockatoos)"
010633,(2012-) -- Ostriches; emus (Dromaius novaehollandiae)
010639,(2002-) -- Other
010641,(2012-) -- Bees
010649,(2012-) -- Other
010690,(2002-) - Other
